#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -32.37277     3.62926             17535
1    -30.14906     0.92622             153580
2    -22.88440     0.46926             563752
3    -21.41621     0.78343             176185
4    -23.43308     2.80310             16107
5    -24.16365     8.43900             3345
