#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -32.86472     1.72806             87228
1    -32.33197     0.66485             343259
2    -32.69535     1.31611             243096
3    -23.08415     0.94232             138695
4    -23.20140     1.29400             72012
5    -23.61610     2.10800             34415
6    -20.93713     2.46411             10569
