#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -23.90917     1.04359             97140
1    -24.48087     0.59119             342082
2    -24.18890     0.88140             239821
3    -22.37254     0.84424             135902
4    -31.72966     1.67697             70150
5    -31.90577     2.37648             33441
6    -30.34027     4.34384             9903
