#Plane_1u2
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             1791
1    -11.51671     1.14853             20489
2    -12.39592     0.44026             191142
3    -13.65362     0.21384             947344
4    -11.92930     0.26810             392019
5    -10.01142     0.34407             151725
6    -12.13647     0.98111             19445
