#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -18.14836     0.93248             97450
1    -15.50111     0.53744             239009
2    -32.55253     0.61514             406927
3    -11.92001     0.24434             551715
4    -2.85828     0.13006             438257
