#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -17.23818     2.54413             3707
1    -10.12381     0.67593             56322
2    -7.75432     0.24641             205574
3    -18.40960     0.32169             663048
4    -19.16153     0.44361             480602
5    -11.11056     0.32977             266720
6    -9.16909     0.56368             44053
