#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -32.80829     4.37245             7990
1    -28.57690     1.95842             69049
2    -23.72223     0.60313             264401
3    -22.55513     1.15168             76020
4    -25.77956     7.67242             5663
5    -29.00000     0.00000             1303
