#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -26.90654     2.68590             22484
1    -21.78341     0.77813             129432
2    -33.06496     1.26949             175850
3    -31.70463     2.07236             70515
4    -32.47809     3.53836             17631
5    76.17922     13.78655             2628
