#Plane_1u1
#Card       tzero  t_zero_err      entries
0    -28.06620     4.72213             8563
1    -32.69966     1.36551             117712
2    -35.74045     1.41958             187911
3    -33.81750     2.13972             70065
4    -36.10968     5.42697             15684
5    71.00000     0.00000             1748
