#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -35.13697     5.62972             8836
1    -35.25969     1.39715             170277
2    -37.36295     1.78268             122696
3    -34.67758     2.55573             65878
4    -33.24893     4.35598             27796
5    -33.25532     6.88867             10391
6    -25.43419     7.64536             2204
