#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -32.45624     7.69650             8454
1    -31.92843     2.02587             77420
2    -32.18284     1.09247             271225
3    67.77427     4.55400             65132
4    -18.79537     3.52062             5218
5    -29.00000     0.00000             1231
