#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -24.62880     2.52787             29294
1    -23.25968     1.08548             183044
2    -22.49130     0.66354             364538
3    -20.95546     0.56075             285461
4    -28.22850     1.20222             107809
5    -30.66330     2.65886             18791
