#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -8.26614     0.75557             19912
1    -17.34911     0.66126             123198
2    -7.80686     0.11235             808018
3    -8.76705     0.08685             2166201
4    -12.80890     0.19885             806432
5    -13.50060     0.29959             356626
6    -7.85256     0.47111             45515
