#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -13.26156     0.36635             302474
1    -15.01248     0.28863             619530
2    -24.62614     0.30992             945919
3    -14.56156     0.19167             1241219
4    -3.23671     0.06293             1240845
