#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -9.58938     1.34331             9578
1    -5.03556     0.20709             137310
2    -1.74866     0.07161             488944
3    -10.18852     0.16268             1490626
4    -11.18855     0.26001             1114295
5    -9.01400     0.18225             635872
6    -8.39678     0.39063             110304
