#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -7.39989     0.23029             280651
1    -9.47107     0.26691             566400
2    -6.36513     0.11125             852555
3    -3.66809     0.05839             1113434
4    -1.19529     0.05885             1121615
