#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -5.17577     0.69595             18403
1    -5.96911     0.21635             170188
2    -3.91949     0.08530             608041
3    -0.83127     0.06656             1563173
4    -12.79041     0.20915             1023872
5    -11.47159     0.26048             557455
6    -9.17105     0.51428             63664
