#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -13.02394     0.44331             237225
1    -11.08622     0.28892             553387
2    -9.58624     0.18002             920049
3    -5.21640     0.10238             1259361
4    -1.42559     0.09188             1041043
