#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -3.89115     0.49462             19076
1    -12.87300     0.67436             115232
2    -1.48578     0.05471             742223
3    -0.99121     0.04406             1944276
4    -4.96022     0.08497             729554
5    -6.58041     0.22062             321841
6    -2.90980     0.35270             41168
