#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -33.79638     3.70041             24957
1    -32.63406     1.34098             217951
2    -24.88352     0.50467             558720
3    -31.89369     0.84544             785726
4    -33.59367     0.95824             638324
5    -32.75138     1.16856             156486
