#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -10.92453     0.92712             15532
1    -13.11527     0.60709             95194
2    -10.31655     0.30192             234532
3    -15.75211     0.40113             293771
4    -12.76347     0.34331             293193
5    -11.40099     0.35358             207851
6    -2.54431     0.51994             51746
