#Plane_1u1
#Card       tzero  t_zero_err      entries
0    -15.97836     2.62467             5784
1    -14.98064     0.51783             108419
2    -12.31242     0.31881             301063
3    -13.33846     0.33551             316817
4    -11.74241     0.28487             252264
5    -11.94124     0.49325             130887
6    -7.54454     0.77937             15566
