#Plane_1u2
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             89
1    -13.29282     0.87369             28684
2    -10.89661     0.45640             124993
3    -9.90493     0.41448             124979
4    -11.31029     0.56419             102298
5    -10.06021     0.55585             58491
6    -10.42000     1.11131             5407
