#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -7.98707     0.73992             22943
1    -16.46539     0.61988             113490
2    -9.49454     0.24333             258063
3    -6.25293     0.19325             297768
4    -12.52911     0.34428             281132
5    -11.95780     0.39965             174187
6    -0.95132     0.52003             33585
