#Plane_2x2
#Wire       tzero  t_zero_err      entries
1    -17.07145     1.43682             6219
2    -15.23803     1.12789             5556
3    -17.53892     1.75542             5953
4    -15.57728     1.15023             6309
5    -15.65921     1.13046             6730
6    -15.21346     1.06461             6986
7    -11.17812     0.72959             7181
8    -11.23759     0.75969             7537
9    -11.87916     0.79160             7732
10    -11.56986     0.74214             8213
11    -10.97602     0.68343             8662
12    -10.81940     0.63131             9218
13    -10.42277     0.58771             9472
14    -11.33709     0.69373             9821
15    -14.55105     0.78295             10079
16    -18.23660     1.11048             11465
17    -17.36175     1.00483             12018
18    -18.39170     1.09156             12203
19    -18.39555     1.06733             12714
20    -18.61263     1.10644             13181
21    -18.53238     1.10524             13618
22    -15.05114     0.69681             14065
23    -15.32683     0.72784             14436
24    -15.11897     0.71119             15159
25    -15.47246     0.73435             15683
26    -15.41314     0.71321             16250
27    -14.67149     0.62421             16983
28    -14.30933     0.59426             17208
29    -10.55606     0.45031             17941
30    -9.73901     0.39989             18473
31    -9.80815     0.38032             19164
32    -6.90820     0.35958             19817
33    -6.16580     0.31486             20361
34    -6.34697     0.31374             20857
35    -6.81897     0.34019             21499
36    -7.96791     0.41830             21575
37    -14.29397     0.54594             22171
38    -14.75560     0.66283             22540
39    -14.20760     0.51917             22872
40    -14.07009     0.51391             23516
41    -13.86205     0.49680             23698
42    -13.46307     0.54060             24327
43    -14.38270     0.54195             24922
44    -32.03084     1.60386             24981
45    -31.69514     1.30200             25390
46    -31.67388     1.28076             26053
47    -31.48372     1.23644             26327
48    -30.57122     1.20594             26716
49    -29.69615     1.08168             27309
50    -30.25240     1.18739             27561
51    -9.34532     0.44457             28001
52    -7.94568     0.35682             28805
53    -8.04050     0.35710             29272
54    -9.17234     0.29858             29971
55    -9.40219     0.31181             30470
56    -9.06577     0.27976             31168
57    -9.41730     0.29735             31212
58    -9.41800     0.29359             31196
59    -11.65288     0.38412             31525
60    -12.10557     0.40939             32300
61    -11.68469     0.37348             32381
62    -12.21736     0.41273             32353
63    -11.66312     0.37941             32919
64    -9.58362     0.30757             29791
65    -7.84862     0.35332             30022
66    -4.52854     0.19281             30572
67    -4.92591     0.21340             30951
68    -4.24723     0.18214             30925
69    -4.43875     0.19775             30469
70    -4.74349     0.20874             30641
71    -4.79050     0.21555             30156
72    -4.23675     0.18398             30196
73    -1.01979     0.24349             29654
74    -0.59970     0.22089             29250
75    -0.53937     0.21506             29411
76    -0.81873     0.23406             29048
77    -0.50380     0.22239             28499
78    -0.27211     0.21375             27211
79    -0.55918     0.22945             26229
