#Plane_2v1
#Wire       tzero  t_zero_err      entries
1    -10.20049     0.00000             33
2    -10.20049     0.00000             56
3    -10.20049     0.00000             109
4    -10.20049     0.00000             162
5    -10.20049     0.00000             217
6    -10.20049     0.00000             276
7    -10.20049     0.00000             335
8    -10.20049     0.00000             372
9    -10.20049     0.00000             465
10    -10.20049     0.00000             542
11    -10.20049     0.00000             659
12    -10.20049     0.00000             791
13    -10.20049     0.00000             811
14    -10.20049     0.00000             959
15    -8.96562     3.25443             1051
16    -17.75476     5.02270             1225
17    -16.09860     2.53598             1381
18    -14.93962     2.44850             1519
19    -26.97745     10.44665             1748
20    -16.33383     2.74164             1884
21    -14.01749     1.83802             2088
22    -16.11276     2.10648             2233
23    -19.55933     3.10982             2450
24    -17.40660     2.70019             2643
25    -16.74767     2.33598             2910
26    -17.32587     2.53294             3009
27    -15.89563     1.74828             3476
28    -18.34135     2.19984             3757
29    -15.15180     1.63131             4138
30    -15.94813     1.78666             4391
31    -16.97770     1.54876             4899
32    -6.90304     0.70693             5721
33    -8.57660     0.91461             6222
34    -8.61415     0.80899             7277
35    -9.76117     0.91339             8509
36    -6.86690     0.49134             9906
37    -7.82025     0.57231             11718
38    -7.63486     0.51528             13706
39    -7.11434     0.42490             15814
40    -6.97608     0.39713             18222
41    -6.72331     0.36728             20623
42    -7.49082     0.39675             22915
43    -7.16752     0.35090             25859
44    -7.74451     0.36686             28919
45    -7.89823     0.36314             32269
46    -6.91748     0.29086             35931
47    -8.86574     0.36637             40709
48    -7.77612     0.30082             46973
49    -1.90403     0.61806             48840
50    -7.74369     0.25823             64573
51    -6.66297     0.18856             82669
52    -6.22528     0.15968             99591
53    -7.85897     0.22390             87073
54    -9.39405     0.31088             65674
55    -9.32393     0.33411             57113
56    -9.87282     0.37983             50538
57    -9.40472     0.37811             45215
58    -12.51186     0.48279             41857
59    -10.23928     0.47667             37911
60    -9.93601     0.48291             35131
61    -9.73109     0.47192             32266
62    -9.54589     0.48467             30364
63    -9.30727     0.47352             28925
64    -17.18559     0.82100             28722
65    -13.98878     0.61355             27268
66    -13.14534     0.55750             25831
67    -12.96443     0.56949             24768
68    -13.25371     0.60034             23563
69    -12.80624     0.56727             22811
70    -12.46025     0.56354             21781
71    -12.05071     0.52989             20542
72    -12.31038     0.58592             19584
73    -12.39134     0.58490             19113
74    -10.20049     0.00000             0
75    -10.48983     0.59409             17333
76    -11.68989     0.61494             16074
77    -11.01292     0.56313             15054
78    -11.20233     0.60709             14062
79    -10.72036     0.78974             13191
80    -14.36381     0.88227             13563
81    -13.41582     0.78755             12710
82    -13.08535     0.78727             12098
83    -13.13821     0.81114             11113
84    -12.43719     0.75514             10620
85    -12.60046     0.76865             9925
86    -11.87475     0.71863             9163
87    -12.56102     0.85939             8693
88    -13.10970     0.94726             8188
89    -12.17831     0.87164             7639
90    -12.79652     0.99662             7176
91    -3.58464     1.77849             5789
92    -11.05834     0.87501             5900
93    -12.41085     1.12059             5096
94    -10.68994     0.92158             4505
95    -10.67077     1.00722             3792
96    -11.52564     2.35589             3238
97    -7.32666     1.10786             2727
98    -6.39454     1.60630             2277
99    -7.02930     1.85878             1947
100    -12.79569     4.12445             1663
101    -7.46630     1.53998             1290
102    -3.37120     1.62735             1108
103    -10.20049     0.00000             902
104    -10.20049     0.00000             763
105    -10.20049     0.00000             528
106    -10.20049     0.00000             387
107    -10.20049     0.00000             258
