#Plane_2u2
#Wire       tzero  t_zero_err      entries
1    -9.04296     0.00000             61
2    -9.04296     0.00000             108
3    -9.04296     0.00000             163
4    -9.04296     0.00000             222
5    -9.04296     0.00000             326
6    -9.04296     0.00000             434
7    -9.04296     0.00000             585
8    -9.04296     0.00000             654
9    -9.04296     0.00000             799
10    -9.04296     0.00000             937
11    -17.80674     6.43053             1202
12    -6.91085     1.30141             1361
13    -12.62120     2.84582             1722
14    -14.74530     3.31499             1906
15    -10.16422     1.27669             2228
16    -11.96262     1.67886             2422
17    -7.36520     0.98100             2690
18    -12.54974     1.98589             3178
19    -11.08897     1.65014             3508
20    -7.86894     0.91279             3761
21    -9.75462     1.20938             4096
22    -9.79339     0.76517             4579
23    -10.19223     1.12870             4899
24    -12.54896     1.55863             5252
25    -10.67072     0.84878             5827
26    -10.00085     1.04394             6068
27    -11.72674     0.90582             6749
28    -11.29684     0.84981             7258
29    -8.54160     0.80417             7206
30    -7.93763     0.68729             7629
31    -9.85906     0.88666             8464
32    -2.98322     1.55447             8321
33    -10.36170     0.65418             9570
34    -10.82617     0.68971             10227
35    -10.73779     0.86584             10898
36    -9.74815     0.72267             11758
37    -10.88602     0.62117             12657
38    -10.41715     0.53412             13719
39    -10.42772     0.49807             15363
40    -10.24356     0.47603             16584
41    -10.45033     0.46926             18192
42    -10.32092     0.43402             19703
43    -10.16327     0.40243             21726
44    -10.82880     0.45212             23623
45    -16.45814     0.69253             24707
46    -14.67731     0.62134             27456
47    -14.54584     0.57010             31945
48    -15.77168     0.56043             38014
49    -15.80299     0.53070             43976
50    -16.32199     0.51491             51292
51    -16.61374     0.51549             51938
52    -17.52658     0.58569             44364
53    -18.54492     0.66049             41010
54    -21.42495     0.85880             39018
55    -18.71540     0.71783             37789
56    -18.62790     0.70684             37229
57    -20.48252     0.84940             36424
58    -21.09902     0.91216             35597
59    -21.33031     0.96759             35000
60    -24.61618     1.21193             33837
61    -19.20434     0.81253             33505
62    -19.97846     0.93488             32556
63    -20.70738     1.00644             32541
64    -20.71502     1.03489             31393
65    -19.62492     0.95694             30712
66    -19.17233     0.91816             29987
67    -18.43950     0.85468             29146
68    -17.21397     0.72552             28759
69    -17.60926     0.79003             28010
70    -16.74134     0.72319             27001
71    -16.41361     0.71018             26397
72    -16.16123     0.68800             25720
73    -15.33073     0.71707             24904
74    -13.99526     0.62254             23865
75    -14.84705     0.73415             23161
76    -12.86118     0.56388             22616
77    -12.32245     0.53715             21025
78    -11.69306     0.52465             20225
79    -12.06722     0.55374             19651
80    -12.05570     0.54091             19348
81    -11.90821     0.53212             18463
82    -13.32213     0.66424             18187
83    -13.27788     0.68650             17358
84    -11.98027     0.56953             16905
85    -10.93834     0.49696             16096
86    -11.59707     0.54598             15661
87    -11.76466     0.58946             15023
88    -12.05796     0.61596             14301
89    -11.33664     0.58446             13625
90    -12.44814     0.71251             12803
91    -12.30398     0.72022             12050
92    -12.02114     0.70554             11316
93    -4.15518     0.62066             10153
94    -1.03338     0.41628             8928
95    -1.31273     0.48672             8339
96    -2.76921     0.62735             7290
97    -4.14540     0.80596             6288
98    -1.49867     0.60801             5250
99    -0.80780     0.50054             4588
100    0.15101     0.40363             3652
101    -0.92792     0.66772             3064
102    -4.66859     2.87258             2421
103    -5.58694     3.54129             1737
104    -5.30507     6.29916             1276
105    -9.04296     0.00000             961
106    -9.04296     0.00000             613
107    -9.04296     0.00000             372
