#Plane_1u2
#Wire       tzero  t_zero_err      entries
1    -13.31754     0.00000             29
2    -13.31754     0.00000             20
3    -13.31754     0.00000             42
4    -13.31754     0.00000             57
5    -13.31754     1288265728999143711767763130000550864773346178049425926394080092606728295053571471576259148544822280184683521142919949169825369450086400.00000             81
6    -13.31754     9831792713983785796718559232.00000             107
7    -13.31754     -0.00000             141
8    -13.31754     19741336474715656909009729662254357975626174009981484087096977429612588945476180685049239680648360303058275143058104860214244251958028076584965463316205208997098072812125988176488168423424.00000             174
9    -13.31754     -0.00000             215
10    -13.31754     0.00000             264
11    -13.31754     0.00000             320
12    -13.31754     11989590710926403981682909231971246423888257103097499318163629662011392.00000             341
13    -13.31754     -7821226608812285791226240925709002056819530986933835914908842147379606070558773355534487591986701775397851638084076045205404420154215302786805590577381376.00000             455
14    -13.31754     -0.00000             571
15    -13.31754     0.00000             641
16    -13.31754     0.00000             741
17    -13.31754     -0.00000             849
18    -13.31754     -573579989623071513781469277577260283370523082530412055494607119009239188912299062937103818269306488294308455623406837177549199748929657782184692788247490709878054307927799195451643401343677325695589783179835753009951092908233562871302836771948950872312147592301921225636653764305630744358147363700736.00000             926
19    -20.49050     7.45864             1067
20    -11.54797     2.08693             1222
21    -10.69487     1.70082             1500
22    -16.86419     4.37505             1573
23    -13.31754     0.00000             1
24    -13.31754     -13082847184449889467608568093842042201719437090957503090228716126877578095491388045442832858718989855081164399310725613284970814466904446205163879577972806451841845584178273774853888219203789162910185597081136706805251516558038326343889028246987790307018930695491005026209607484430090240.00000             12
25    -26.28141     8.03509             2355
26    -15.66539     2.30698             2586
27    -13.84241     1.76950             2793
28    -12.01044     1.19616             3197
29    -11.71481     1.16102             3351
30    -14.43425     2.16081             3690
31    -11.17320     0.94296             4356
32    -12.43260     1.17131             4737
33    -12.22972     1.00098             5580
34    -12.68091     0.99127             6176
35    -13.10945     1.01648             7134
36    -12.98181     0.89023             8550
37    -13.36559     0.89365             10158
38    -13.48779     0.83482             11946
39    -14.10014     0.82083             14477
40    -13.31567     0.68325             16701
41    -12.76900     0.58875             19406
42    -12.16584     0.50950             21959
43    -11.49672     0.43536             25024
44    -14.90119     0.56643             27897
45    -13.47904     0.53849             30264
46    -12.76555     0.47243             34329
47    -13.10602     0.46299             39044
48    -13.10928     0.42460             45099
49    -13.27947     0.40634             51712
50    -14.29014     0.42016             62935
51    -13.60491     0.34773             78210
52    -13.92685     0.33122             97827
53    -12.29638     0.23757             113761
54    -13.86485     0.33655             82955
55    -15.57732     0.46855             67452
56    -15.52972     0.48825             59133
57    -16.98080     0.55892             52975
58    -15.26259     0.52611             48010
59    -15.94549     0.60633             43814
60    -16.01891     0.64670             39824
61    -14.07868     0.55140             37111
62    -13.45305     0.54176             34550
63    -12.51303     0.47634             32357
64    -12.38444     0.47952             29914
65    -12.37887     0.50048             28136
66    -13.30811     0.59763             26668
67    -12.19801     0.50330             25334
68    -12.37527     0.52872             24047
69    -12.18523     0.51739             22958
70    -12.28769     0.52154             21481
71    -11.99421     0.51201             20727
72    -12.18593     0.55362             19670
73    -12.63939     0.60049             18718
74    -12.56455     0.61015             17655
75    -13.59204     0.74652             16728
76    -11.89503     0.57635             15965
77    -9.73658     0.65219             14467
78    -10.34566     0.74173             13852
79    -11.21934     0.66277             13221
80    -11.08179     0.89788             12231
81    -10.50701     0.58952             11884
82    -11.55018     0.73286             11052
83    -12.03639     0.81105             10390
84    -11.94599     0.77397             9802
85    -11.11617     1.00222             9402
86    -11.25895     1.07191             8395
87    -10.42443     0.96168             7774
88    -11.63636     0.83651             7111
89    -11.77038     0.90909             6704
90    -11.16328     0.85333             5901
91    -17.93219     2.79655             5078
92    -12.30926     1.65512             4461
93    -10.49467     1.42604             3589
94    -10.47231     1.03319             3049
95    -13.55511     2.79218             2360
96    -7.68747     1.93790             1997
97    -8.85648     1.59523             1683
98    -13.31754     15.91483             1395
99    -13.00706     2.39673             1200
100    -13.31754     -1960394552963313070990681039985027829946736306136707171995151916956020760767487538928839965171748419714983150651322307241874079598985490155984588313639108647575306731191986709220474883069089677312.00000             933
101    -13.31754     -0.00000             821
102    -13.31754     0.00000             667
103    -13.31754     0.00000             540
104    -13.31754     0.00000             483
105    -13.31754     0.00000             379
106    -13.31754     -6636056570514384877288093619457032012310841105211996744351000662383550902011296996277374610058537348366317867658996415785423181136567947882159012906974529912901527874692106152093635645167920872455205892748483201043764001941398790426286950818024355668972444566619607282395119616.00000             232
107    -13.31754     -32685808723357403513816613709466582757801953962324744383168887519619908517723753318068411786652523693291383695050825485975605896712329795461738046161962595219072585878196250220303281522882577313777164237127286784.00000             117
