#Plane_1v2
#Wire       tzero  t_zero_err      entries
1    -10.89970     0.00000             21
2    -10.89970     0.00000             25
3    -10.89970     0.00000             30
4    -10.89970     0.00000             84
5    -10.89970     0.00000             101
6    -10.89970     0.00000             141
7    -10.89970     0.00000             231
8    -10.89970     0.00000             316
9    -10.89970     0.00000             468
10    -10.89970     0.00000             602
11    -10.89970     0.00000             769
12    -10.89970     0.00000             919
13    -9.61782     2.07153             1277
14    -10.89970     23.07771             1290
15    -12.17326     2.49552             1637
16    -11.85158     2.41113             1898
17    -14.11061     2.15851             2265
18    -12.03660     1.46973             2550
19    -11.33599     1.27631             2717
20    -12.95914     1.57114             3027
21    -12.60448     1.42833             3445
22    -11.46782     1.14395             3900
23    -10.95517     0.92721             4313
24    -15.01416     2.11703             4722
25    -10.79822     0.89412             5140
26    -11.79531     1.01013             5503
27    -10.50552     0.74078             6147
28    -11.85333     0.90101             6491
29    -7.75740     0.75616             6632
30    -9.22165     0.90421             7339
31    -9.80714     0.93603             7898
32    -9.44940     0.88470             8597
33    -6.77509     0.50886             9112
34    -9.29541     0.74472             9738
35    -9.29391     0.74658             10381
36    -8.50868     0.65081             11442
37    -10.05912     0.74666             12168
38    -8.24195     0.54916             13094
39    -10.67442     0.57592             14373
40    -9.68765     0.47074             15554
41    -9.81938     0.44025             17124
42    -8.24982     0.46119             18595
43    -7.67756     0.42298             20644
44    -9.52771     0.38257             22883
45    -16.48847     0.70158             22985
46    -16.64225     0.70920             25843
47    -16.06872     0.62128             29769
48    -15.93437     0.57644             33990
49    -15.71572     0.58992             39776
50    -17.67872     0.61116             48085
51    -16.87589     0.49198             58510
52    -17.01387     0.45788             63422
53    -18.76256     0.61244             51503
54    -18.66086     0.60647             47075
55    -21.89769     0.81056             44342
56    -20.22031     0.77034             42523
57    -20.16537     0.75923             41093
58    -21.17919     0.87682             39377
59    -25.17640     1.20322             37955
60    -20.65553     0.85518             36800
61    -24.66978     1.10035             36583
62    -24.56829     1.17166             35954
63    -20.96644     0.90548             34786
64    -23.32802     1.07426             34047
65    -22.54285     1.00753             33253
66    -18.89697     0.77425             32202
67    -20.28951     0.92122             31056
68    -19.13093     0.80812             30174
69    -19.32031     0.84698             29756
70    -17.95388     0.73441             28575
71    -17.67320     0.72589             27745
72    -16.95656     0.66519             27010
73    -17.40236     0.72980             25962
74    -16.54944     0.69421             25161
75    -15.53233     0.63300             24411
76    -15.54467     0.64306             23927
77    -12.01053     0.50923             22116
78    -11.78374     0.50886             21434
79    -11.97897     0.54385             20798
80    -11.48815     0.49496             20101
81    -12.15771     0.57468             19280
82    -11.52407     0.51257             18828
83    -11.39212     0.52280             17974
84    -12.78096     0.64037             17542
85    -11.76116     0.58134             16757
86    -12.33660     0.64898             15619
87    -12.13811     0.64096             14979
88    -11.81291     0.63159             13993
89    -10.95733     0.55909             13358
90    -11.97909     0.66412             12621
91    -12.28925     0.77323             11236
92    -11.92392     0.74516             10084
93    -10.80135     0.74824             8443
94    -8.14064     0.73352             7092
95    -12.62504     1.56183             5935
96    -10.00815     1.75106             4752
97    -9.02955     1.26342             3820
98    -15.59382     3.67021             3023
99    -7.75282     1.20082             2576
100    -15.31591     4.24102             2211
101    -7.51568     1.26705             1860
102    -11.74874     3.55747             1700
103    -10.89970     0.00000             0
104    -10.89970     35.16212             1102
105    -10.89970     0.00000             780
106    -10.89970     0.00000             508
107    -10.89970     0.00000             251
