#Plane_2x1
#Wire       tzero  t_zero_err      entries
1    -14.24556     1.33655             5162
2    -16.29427     1.48088             5374
3    -14.65556     1.28641             5796
4    -12.54738     0.94811             6115
5    -14.77600     1.18605             6483
6    -12.26991     0.83020             6970
7    -11.04970     0.81247             7041
8    -9.35529     0.63042             7526
9    -9.37845     0.59664             7538
10    -9.40725     0.59528             8002
11    -8.06100     0.65452             8528
12    -8.91185     0.49646             8713
13    -7.66595     0.58825             9150
14    -9.35346     0.77330             9345
15    -11.08965     0.67660             9319
16    -12.29437     0.74614             9938
17    -14.34535     0.73958             11725
18    -14.15828     0.70295             12004
19    -14.88102     0.78571             12203
20    -14.01007     0.77100             13113
21    -14.22975     0.67931             13299
22    -13.76230     0.65860             13823
23    -11.52630     0.54234             14399
24    -12.38304     0.61669             14696
25    -11.83404     0.54411             15462
26    -11.75763     0.54743             15884
27    -11.77064     0.52623             16450
28    -12.07039     0.56437             17123
29    -9.95209     0.43977             17485
30    -6.07695     0.33159             18190
31    -5.04215     0.27605             18763
32    -5.57884     0.28667             19407
33    -9.53725     0.37151             19868
34    -9.68415     0.37127             20235
35    -9.68521     0.35811             20867
36    -10.01514     0.38411             21392
37    -15.13940     0.62677             21710
38    -16.64090     0.69045             22193
39    -17.24577     0.73108             22657
40    -16.96783     0.68541             23238
41    -17.01321     0.69345             23338
42    -16.42900     0.63204             24023
43    -16.31611     0.60813             24619
44    -20.75123     0.89820             25085
45    -35.97801     1.52678             25298
46    -36.26241     1.56379             26014
47    -35.38369     1.42295             26384
48    -36.31259     1.52251             26933
49    -35.80497     1.44272             27156
50    -34.38792     1.25282             27271
51    -34.09013     1.71965             27647
52    -14.21496     0.50914             28452
53    -14.02525     0.47526             29123
54    -13.70524     0.45019             29618
55    -13.80363     0.44281             30448
56    -13.10880     0.45642             30845
57    -13.99619     0.43145             30986
58    -13.91126     0.44347             30998
59    -15.03550     0.49190             31405
60    -19.31613     0.62614             32047
61    -16.86168     0.57944             32260
62    -16.56484     0.56180             32472
63    -18.39904     0.69365             32301
64    -19.01762     0.63156             33108
65    -9.84262     0.31381             31006
66    -3.78231     0.33039             30777
67    -4.22930     0.18499             31091
68    -4.48850     0.35851             31106
69    -3.53327     0.31330             30685
70    -4.09975     0.16830             30536
71    -4.01454     0.17201             29837
72    -4.34677     0.19529             30170
73    -2.44450     0.29165             29766
74    -0.68336     0.60630             28969
75    -0.45960     0.22504             28833
76    -0.11138     0.20832             28827
77    0.29971     0.18919             28481
78    0.42671     0.17578             28113
79    -0.17762     0.21737             31880
