#Plane_1v1
#Wire       tzero  t_zero_err      entries
1    -10.59359     0.00000             12
2    -10.59359     0.00000             17
3    -10.59359     0.00000             28
4    -10.59359     0.00000             55
5    -10.59359     0.00000             93
6    -10.59359     0.00000             125
7    -10.59359     0.00000             196
8    -10.59359     0.00000             267
9    -10.59359     0.00000             404
10    -10.59359     0.00000             571
11    -10.59359     0.00000             710
12    -10.59359     0.00000             894
13    -17.89900     5.95835             1091
14    -23.97886     13.13128             1287
15    -17.56666     3.79440             1460
16    -15.65806     2.31411             1836
17    -13.04713     1.40932             2099
18    -14.24062     1.56895             2479
19    -14.31232     1.45898             2687
20    -15.42268     1.80310             2905
21    -13.99529     1.72663             3239
22    -15.44453     1.81231             3702
23    -13.24942     1.34482             4066
24    -14.53891     1.53148             4506
25    -14.20752     1.46654             4791
26    -11.74232     0.97434             5205
27    -12.10616     0.96858             5686
28    -10.21592     0.71607             6145
29    -13.17484     1.14407             6393
30    -12.15953     0.93275             7011
31    -13.67963     1.11110             7493
32    -11.34772     0.75109             8470
33    -11.67464     0.78377             9103
34    -11.73798     0.71025             9631
35    -12.04628     0.72319             10274
36    -11.85277     0.68154             11228
37    -11.96766     0.65646             11895
38    -11.98379     0.64160             12913
39    -12.53323     0.69913             13759
40    -12.07045     0.61147             15017
41    -11.57688     0.54909             16172
42    -10.84335     0.47803             17776
43    -11.53525     0.52518             19520
44    -10.23891     0.40088             21797
45    -11.03565     0.45906             23605
46    -10.81208     0.42452             26249
47    -11.40863     0.43175             29381
48    -6.59940     0.30080             32810
49    -6.29465     0.25758             38034
50    -6.61557     0.26031             44785
51    -6.71461     0.23495             55087
52    -7.33691     0.24336             64892
53    -8.82999     0.31292             58377
54    -9.36031     0.36306             49557
55    -12.50969     0.44699             45911
56    -10.92839     0.46879             43746
57    -10.85799     0.46817             42127
58    -10.27481     0.44562             40244
59    -12.39244     0.60903             38483
60    -12.80341     0.65444             37457
61    -10.72367     0.51613             36062
62    -10.87560     0.55306             35582
63    -10.39013     0.50648             33805
64    -23.72301     1.03014             34562
65    -23.42317     1.08502             33468
66    -23.54259     1.08616             32548
67    -21.73872     1.00656             31610
68    -20.48056     0.92726             30614
69    -21.95423     0.97492             29828
70    -19.37881     0.84193             29126
71    -18.29628     0.76021             27679
72    -18.96666     0.87444             26761
73    -17.64958     0.76814             25827
74    -17.20775     0.73959             25085
75    -16.82440     0.71708             24282
76    -16.76482     0.73868             23335
77    -15.43542     0.65446             22862
78    -15.67443     0.70319             21590
79    -16.07808     0.75216             21153
80    -14.22691     0.66851             21103
81    -13.08970     0.61293             20417
82    -14.68480     0.68321             19387
83    -13.61380     0.68133             18840
84    -13.41495     0.66269             18079
85    -13.62620     0.73158             17071
86    -12.78268     0.69530             16246
87    -12.47667     0.65346             15253
88    -12.59269     0.67826             14438
89    -12.94125     0.77231             13479
90    -13.29642     0.83613             12652
91    -12.33347     0.73149             11807
92    -12.04345     0.79593             10342
93    -17.19197     2.04197             9060
94    -11.90970     1.21573             7655
95    -11.64281     1.32200             6340
96    -11.80428     1.96630             5122
97    -7.06585     0.83047             3977
98    -11.28221     2.49250             3180
99    -14.87707     3.71679             2698
100    -8.48246     1.48729             2268
101    -9.23837     2.41217             1963
102    -7.48867     2.22979             1639
103    -22.47429     9.45364             1316
104    -16.18253     6.97383             1137
105    -10.59359     0.00000             843
106    -10.59359     0.00000             666
107    -10.59359     0.00000             434
