#Plane_1x2
#Wire       tzero  t_zero_err      entries
1    -12.49393     1.94066             4004
2    -11.00345     1.07665             3803
3    -11.03895     1.05205             4275
4    -10.08061     0.79566             4713
5    -10.90525     0.89770             5035
6    -11.38386     0.89459             5516
7    -11.12970     0.85232             5810
8    -13.77920     1.57126             6310
9    -11.21064     0.76915             6658
10    -11.66311     0.87315             6918
11    -12.23361     0.92986             7363
12    -10.68851     0.68932             7570
13    -10.50309     0.66361             7890
14    -10.82062     0.72996             8268
15    -10.26198     0.59443             8995
16    -11.44652     0.66072             10099
17    -11.28453     0.62430             10889
18    -14.12331     0.80155             11606
19    -13.31748     0.78327             12036
20    -14.06637     0.71969             12709
21    -12.88591     0.69062             13246
22    -14.00981     0.67130             13659
23    -12.81791     0.64421             14474
24    -12.48377     0.61245             14843
25    -12.47793     0.61469             15323
26    -11.17058     0.50932             16119
27    -11.16707     0.49664             17034
28    -10.71483     0.46109             17275
29    -10.38521     0.44684             18215
30    -10.09330     0.44237             18416
31    -10.69078     0.47497             19203
32    -16.52902     0.73324             19997
33    -15.25325     0.59441             20982
34    -15.59430     0.64462             21590
35    -15.30573     0.62097             22439
36    -16.08773     0.67052             23035
37    -19.29419     0.92474             23506
38    -21.24275     0.94054             24053
39    -21.70650     0.90878             24756
40    -21.67933     0.86418             25286
41    -21.55502     0.82209             26038
42    -23.19789     1.03302             26278
43    -28.41332     1.59520             27526
44    -37.33443     2.71897             27980
45    -36.87551     1.69550             28207
46    -37.53081     1.64484             28721
47    -38.11372     1.72914             29464
48    -34.73151     1.34007             29928
49    -37.12816     2.34218             30388
50    -27.98790     1.74505             31002
51    -14.42105     0.47425             31788
52    -14.38853     0.45315             32625
53    -14.69272     0.45965             33366
54    -14.42806     0.44401             33653
55    -15.25298     0.48989             34264
56    -15.86204     0.50912             34690
57    -19.15922     0.59649             35370
58    -19.39221     0.58592             35780
59    -19.38034     0.61619             36292
60    -19.18779     0.58471             35950
61    -17.31352     0.57715             36682
62    -16.81618     0.55517             36855
63    -14.21387     0.41002             36909
64    -10.43955     0.31763             33126
65    -10.60917     0.34036             32770
66    -10.65077     0.33067             32938
67    -10.38113     0.31230             32856
68    -9.72332     0.30541             32294
69    -6.83132     0.29041             31934
70    -6.88712     0.28788             31611
71    -6.31743     0.25550             31143
72    -6.15222     0.25884             30837
73    -6.46148     0.27704             29243
74    -10.39420     0.40328             26134
75    -13.51221     0.59572             24030
76    -14.24443     0.64348             23135
77    -14.39782     0.58958             21362
78    -14.88045     0.65326             19668
79    -14.45964     0.61451             19074
