#Plane_2u1
#Wire       tzero  t_zero_err      entries
1    -9.08288     0.00000             42
2    -9.08288     0.00000             82
3    -9.08288     0.00000             137
4    -9.08288     0.00000             212
5    -9.08288     0.00000             285
6    -9.08288     0.00000             397
7    -9.08288     0.00000             531
8    -9.08288     0.00000             667
9    -9.08288     0.00000             762
10    -9.08288     0.00000             914
11    -14.74564     5.41012             1128
12    -6.50175     2.21806             1345
13    -5.89872     1.89819             1570
14    -8.97541     2.36907             1855
15    -8.28015     2.08747             2082
16    -16.11390     2.18116             2412
17    -25.98693     5.85592             2631
18    -15.75299     1.96142             3046
19    -16.60740     2.25407             3449
20    -16.49682     2.12680             3648
21    -13.82809     1.45905             3954
22    -12.70985     1.12305             4359
23    -15.00586     1.32245             4795
24    -15.17608     1.55966             4930
25    -13.75877     1.20736             5573
26    -11.92190     0.89498             5692
27    -12.71948     1.01535             6133
28    -11.86440     0.85061             6668
29    -13.00615     0.96891             6990
30    -13.09199     0.98719             7461
31    -14.29776     1.15484             7852
32    -8.69704     0.72468             9041
33    -11.29734     0.74027             9515
34    -13.43800     1.25420             10309
35    -11.05184     0.67653             10927
36    -10.80962     0.85387             11601
37    -8.27557     0.56545             12525
38    -9.98448     0.51683             13361
39    -10.65998     0.54587             14859
40    -9.96735     0.46494             16088
41    -7.55086     0.43458             17450
42    -9.60483     0.58225             19090
43    -10.01498     0.42078             20546
44    -9.37545     0.52508             22688
45    -6.95334     0.33823             24812
46    -7.07693     0.34692             27966
47    -6.84000     0.30320             31180
48    -6.20448     0.25942             35768
49    -6.47222     0.26043             41952
50    -6.59027     0.25761             48477
51    -6.99606     0.24786             55403
52    -7.48504     0.29010             47433
53    -8.93089     0.36977             42803
54    -12.36179     0.46837             39873
55    -12.68256     0.49285             38167
56    -10.61634     0.49671             37204
57    -10.78819     0.50624             36445
58    -10.99747     0.52757             35572
59    -12.54853     0.65963             34797
60    -11.66972     0.59782             33852
61    -11.48967     0.59930             32731
62    -15.09970     0.75929             31388
63    -13.53264     0.79713             30940
64    -20.92208     1.03025             32092
65    -20.24001     0.99624             31054
66    -20.00747     0.96468             30370
67    -18.79161     0.88634             29612
68    -18.03229     0.83440             28884
69    -17.28697     0.74433             28440
70    -17.22718     0.78699             27141
71    -16.92863     0.78321             26125
72    -14.70334     0.67530             25522
73    -15.26665     0.65648             24666
74    -13.35994     0.61248             23775
75    -12.47533     0.54229             22970
76    -11.63523     0.50514             22198
77    -12.41355     0.57232             21356
78    -11.76436     0.57304             20442
79    -11.01050     0.49994             19587
80    -15.21022     0.68988             20204
81    -12.65977     0.57071             19309
82    -13.10715     0.62845             18912
83    -12.69922     0.59489             18056
84    -13.03301     0.65980             17413
85    -12.10775     0.58579             16576
86    -12.20403     0.60683             15843
87    -12.28351     0.61404             15128
88    -11.17007     0.53699             14432
89    -11.74604     0.62288             13617
90    -11.50896     0.63087             13029
91    -12.03557     0.97646             12257
92    -11.90944     1.48809             11326
93    -10.56737     0.58715             10392
94    -10.41289     0.89975             9415
95    -10.02290     0.91790             8483
96    -1.23329     0.48182             7530
97    0.15015     1.25713             6546
98    -0.87499     0.52754             5615
99    -5.32882     2.21545             4903
100    -4.30693     2.23657             4010
101    -1.10270     1.80667             3266
102    1.36461     1.79561             2678
103    0.30030     2.03544             2083
104    2.81528     2.00105             1415
105    -3.28154     5.94007             1067
106    -9.08288     0.00000             777
107    -9.08288     0.00000             549
