#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -5.32316     0.29294             79595
1    -5.99848     0.11264             635865
2    -4.06222     0.05174             1841644
3    -0.86697     0.04222             3871455
4    -12.84178     0.12481             2812521
5    -11.48651     0.15062             1388206
6    -8.77961     0.37658             123159
