#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -13.09525     0.22577             966900
1    -10.98363     0.16746             1557480
2    -9.58750     0.10871             2485239
3    -5.20089     0.06169             3317055
4    -1.11866     0.03982             2442107
