#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -8.48015     0.58493             45167
1    -5.05791     0.10667             517383
2    -1.86609     0.04092             1570905
3    -10.16868     0.10281             3656475
4    -11.24384     0.15678             3085013
5    -9.08120     0.11461             1622805
6    -8.50156     0.25970             219453
