#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -3.00542     0.22103             86293
1    -3.10186     0.08237             622170
2    -2.10343     0.05231             1624588
3    -9.96399     0.08417             3540624
4    -8.54946     0.07124             3139169
5    -9.03393     0.10792             1760801
6    -2.60802     0.10438             403324
