#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -11.63738     0.77434             72395
1    -10.13609     0.22893             513191
2    -1.74486     0.03929             1736381
3    -0.81335     0.02577             4854081
4    -6.04062     0.07815             2680252
5    -3.51118     0.06862             1143865
6    -3.18643     0.14649             203639
