#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -33.82155     4.44354             8778
1    -31.52873     2.00155             63684
2    -31.27907     1.33712             215123
3    70.20305     3.21943             129861
4    -21.48543     3.27385             9573
5    -9.00000     0.00000             738
