#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -36.23033     7.68815             6061
1    -34.88328     1.48314             126424
2    -36.18098     1.97941             114980
3    -33.43386     2.38898             81620
4    -31.60793     2.89844             53774
5    -32.35038     3.17801             29611
6    -23.99075     4.39280             5831
