#Plane_1u2
#Card       tzero  t_zero_err      entries
0    -27.44422     3.02618             26899
1    -27.14932     1.00089             261053
2    -26.34703     0.65365             626741
3    -31.73658     0.75432             802771
4    -31.32917     0.87678             528207
5    -34.55082     1.94193             126792
