#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -31.74075     2.32095             39202
1    -29.23409     1.05046             230379
2    -21.29744     0.48128             540795
3    -21.65298     0.51566             741239
4    -23.86596     0.64140             585825
5    -22.28470     1.09809             188153
