#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -24.53065     1.49515             55455
1    -23.26551     0.73711             243669
2    -22.62560     0.47244             460695
3    -20.93437     0.49091             391877
4    -27.74412     0.83965             140350
5    -31.44103     2.89541             22549
