#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -34.75276     5.95867             12824
1    -32.82705     1.25736             150520
2    -25.32094     0.65644             606083
3    -30.73106     0.84515             436497
4    -32.99539     2.31141             84575
5    -32.23001     3.71152             6277
