#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -32.02244     2.49279             24468
1    -29.14938     0.92938             169598
2    -22.59166     0.52707             563800
3    -21.34781     0.39265             452407
4    -23.78209     1.26725             92728
5    -23.65128     3.14787             8716
