#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -12.46517     0.52225             115668
1    -14.45918     0.49634             240561
2    -23.58954     0.49101             370906
3    -14.22583     0.29073             483159
4    -2.58850     0.12058             473025
