#Plane_1u1
#Card       tzero  t_zero_err      entries
0    -14.78695     3.04723             3201
1    -14.85391     1.37976             31881
2    -12.44540     0.35915             271458
3    -14.79693     0.21254             947104
4    -11.52476     0.26292             336603
5    -10.06587     0.42285             124735
6    -6.62030     1.30443             11225
