#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -35.65125     7.44483             11037
1    -34.83770     1.65171             202281
2    -36.55450     1.63183             211931
3    -33.55624     1.66562             172390
4    -32.01102     2.38602             131932
5    -32.10627     1.96250             89391
6    -23.40673     2.33918             21117
