#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -24.52655     1.22447             55722
1    -24.46989     0.78796             204035
2    -24.56038     0.80841             181597
3    -22.16822     0.77291             158547
4    -31.74650     1.11495             152779
5    -32.07360     1.26965             130081
6    -30.60909     1.96968             50103
