#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -23.75811     1.66431             33539
1    -23.56167     0.90910             159676
2    -22.44790     0.74497             299147
3    -20.62529     0.52339             300454
4    -27.73734     1.10856             121852
5    -30.22524     2.41400             20342
